target_group,text,severity_tier,implicit_explicit,strategy,salient_feature
national_origin,Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.,extreme,explicit,slur_heavy,high_toxicity_explicit
national_origin,"The only thing you Americans should be embarrassed of is how the rest of the world sees you as pathetic, weaklings who want to destroy their own nation. We will gladly take your land if you don't want it, and hang all of the disgusting dress wearing pedophile LGBTQ loons from the gallows. Disgusting.",extreme,explicit,dehumanisation,high_toxicity_explicit
national_origin,"you will drown in the blood you poured, islamic enemy us bastards",extreme,explicit,direct_threat,direct_threat
national_origin,Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,extreme,explicit,insult_based,high_toxicity_explicit
national_origin,wanna call nigger whole chest block meike bitch @url,extreme,explicit,dehumanisation,high_toxicity_explicit
national_origin,Learn the fucking language you fucking useless immigrant.,extreme,explicit,slur_heavy,high_toxicity_explicit
national_origin,Drop dead come in leagal their won't be a proble you idiots change the laws and you voted no for more money we hat idiots,extreme,explicit,slur_heavy,high_toxicity_explicit
national_origin,"@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant",high,explicit,slur_heavy,high_toxicity_explicit
national_origin,Oliver Cromwell was the worst leader Britain has ever had.,high,explicit,general_toxic,general_case
national_origin,"Biden and Pelosi look almost orgasmic, wonder how he feels...murderous??",moderate,implicit,low_signal,subtle_coded_hate
national_origin,zionist using this wahhabi terrorist nation undeveloped animal  to destroying meddleast countries for israil,moderate,implicit,slur_heavy,subtle_coded_hate
national_origin,<user> soon they will be finding a right to transgenderism in the constitution the right to choose your pronoun penalties for those who use language like illegal aliens and the right to kill old people they will say it right there in the constitution has been all along,moderate,implicit,slur_heavy,subtle_coded_hate
national_origin,"#Killstream: Argento Busted, Warren Lunacy, Sweden's 'Problem,' + UK Backs South Africa Thugs https://www.youtube.com/watch?v=mSDtoppugww LIVE TONIGHT at 11PM EST",low,implicit,low_signal,subtle_coded_hate
national_origin,The US and Saudi governments should start giving them some nuclear-tipped missiles. Just make sure they're coming in fast and hot. Turn Iran into glass.,low,implicit,slur_heavy,subtle_coded_hate
national_origin,I just learned about the Salton Sea.  The California state government seems to be so concerned with what the rest of America is doing and telling the rest of us what to do but yet they can't manage their own state any better than this? ,low,implicit,slur_heavy,subtle_coded_hate
national_origin,"Took this in Wanstead, east London. An area with £1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist. (Caption to a photo of a homeless person sleeping on a part bench)",low,implicit,slur_heavy,subtle_coded_hate
national_origin,"Immigrants steal our jobs, they're not qualified, they're not interested in improving our lives, they're not interested in our culture.",low,implicit,low_signal,subtle_coded_hate
national_origin,Immigrants are entering the U.S. just to obtain welfare and other benefits.,low,implicit,low_signal,subtle_coded_hate
