target_group,text,severity_tier,implicit_explicit,strategy,salient_feature
religion_belief,"Your language for one dumb fuck. I know your ultra Americanized brain has rejected any notion of Arab identity because you didn't want to be picked on by the white bullies at your low income public school, but for one your home countries native fucking language you impudent shit.",extreme,explicit,dehumanisation,high_toxicity_explicit
religion_belief,my muslim pal asked me what it was like to be drunk oh you just make a cunt of yourself talk shit and want to fight the world i told him so it just like islam then he replied,extreme,explicit,dehumanisation,high_toxicity_explicit
religion_belief,"RT @JihadistJoe: We Muslims have no military honour whatsoever, we are sub human savages that slaughter unarmed men, women & children http:…",extreme,explicit,dehumanisation,high_toxicity_explicit
religion_belief,Not even Muslims want Muslims in their country.  Why should we?  They are all -- as President Trump would say -- losers.,extreme,explicit,dehumanisation,high_toxicity_explicit
religion_belief,There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,extreme,explicit,dehumanisation,high_toxicity_explicit
religion_belief,"GET RID OF THOSE FUCKING MUSLIMS! the nasty ones that won't assimilate, rape women, beat children, threaten democracy, plan terror attacks, assault innocent secular people and force their disgusting religion on everyone else by way of violence. Assimilate OR GET THE FUCK OUT OR BE PREPARED TO DIE!",extreme,explicit,direct_threat,direct_threat
religion_belief,Last crusade 1291 Sack of Adrianople 1362 Sack of Constantinople 1453  Looks like you farted on Islamic balls,extreme,explicit,insult_based,high_toxicity_explicit
religion_belief,"How could be @AnushkaSharma be such a stupid ,not respecting her own religion shame on the production #Bulbbul @Swamy39 https://t.co/i9xsngc8V1",extreme,explicit,insult_based,high_toxicity_explicit
religion_belief,"JEW Get the fuck out of here you jewish son of a bitch, I'll rape your fucking family if you don't leave you semite bastard. I will shoot you if you return, because you're a dirty semite, I hope you choke on a fucking bagel, prick. Shalom. We Came In?",extreme,explicit,direct_threat,direct_threat
religion_belief,Uh ok. Maybe we should put a bitter snarky Muslim on the bill.,high,explicit,general_toxic,general_case
religion_belief,support israel antifa does support israel they did not do <number> <number> we promise support israel jews do not start wars goyim fight and die in support jews they do not flood europe with muzzies support jews they do not push homosexual perversion ever that ant semitic,high,explicit,slur_heavy,high_toxicity_explicit
religion_belief,i will never ever fight in any war for the benifit of islam or muslims i will not spill my blood for people that want to kill me and my way of life i dont care who there fighting or where or why,high,explicit,slur_heavy,high_toxicity_explicit
religion_belief,okay now get the islame ist muslimes out of our country for christ sake training camps really,high,explicit,general_toxic,high_toxicity_explicit
religion_belief,people using the Bible to justify the incompetency of this stupid government doesn't understand the book~,high,explicit,slur_heavy,high_toxicity_explicit
religion_belief,% muslims don't you think the numbers should be more equal to the 911 attacks or in paris concert. Time to even things up and the fact that muslims populate like rabbits we should do 10 to one western killed.  Then the attacks on westerners would disappear overnight.,moderate,implicit,slur_heavy,subtle_coded_hate
religion_belief,"""It wasn’t “the left” that publicly called Mexicans “rapists,” called for a “Muslim ban,” 

It is exactly, people like you, who take things out of context, and spew them out in a hateful manner that cause this.

Trump SAID the Mexicans just SEND us their rapists.  Trump never called the ban a ""Muslim ban"".",moderate,implicit,slur_heavy,subtle_coded_hate
religion_belief,Because Christians don't strap bombs to kids and women and blow themselves up.  Look at all the mass killings and the one thing in common...Muslims.,moderate,explicit,slur_heavy,high_slur_usage
religion_belief,We must ensure that Jewish are not allowed to live freely in our society anymore. They are dangerous.,moderate,implicit,coded_implicit,general_case
religion_belief,Jews think they are better than everyone else,moderate,implicit,coded_implicit,general_case
religion_belief,"Uhhh...I think you missed ""Psychopathic"".  Goes for Newt too, after all he is on record for saying if Muslims fail a religious test they should be deported.  So, who's next?  Methodists I suppose.",moderate,implicit,low_signal,subtle_coded_hate
religion_belief,"It is important to note that there was a huge turnout from several Jewish Templea as well, not just Christians and atheists supporting.",low,implicit,low_signal,subtle_coded_hate
religion_belief,"The trouble with the BC is that it's not even wrong.  On its own terms it is unimpeachable.  All of its answers are true and all of the questions important.  Yet it fails at communicating the Gospel and at forming a conscience because it provides little hint of the thought behind the answers.

It is no wonder that the generations formed by the Baltimore Catechism were defenseless against modernists and post-Christian moralistic therapeutic deism, so easily led astray by the charlatans who used ""Vatican II"" without reference to the council itself as an alibi to preach a different gospel, and unable to pass the faith on to the next generation.  Let's not forget that everyone who made a mess of things in the 70s and 80s--from Dearden and Hunthausen down to bad CCD teachers--was formed before Vatican II!",low,implicit,slur_heavy,subtle_coded_hate
religion_belief,"Jim Berrrios and Donal Trump are Siamese Kenyan Muslim twins who were separated at birth
Democracy for sale",low,implicit,low_signal,subtle_coded_hate
religion_belief,"While I don't dispute that there is an anti-Muslim undercurrent in some areas of our society, and it may well be getting worse, I thoroughly disagree that it is a ""culture of hate"" in this country.  Such language is wrong and does nothing but to inflame.

The most common usage of the word ""culture"" when it comes to society involves the overall customs, attitudes, and institutional aspects (etc)  of a group of people (i.e. citizens of a country or region).  It is quite clear that overall, Canadian society is inclusive, not hateful, and decidedly not anti-Muslim.

Anti-anything is wrong (by anyone) and I believe that most Canadians see this.  Those that don't need to be addressed in some way....and how to do this is a different conversation.",low,implicit,slur_heavy,subtle_coded_hate
religion_belief,"Thus far, any Catholic who is even remotely familiar with his Catechism should be thrilled with the new POTUS, most particularly on the issues which are of the gravest concern, i.e. abortion and religious liberty {even if only in the secular/neo Catholic meaning of the term}.",low,implicit,low_signal,subtle_coded_hate
religion_belief,"That's right, there are no laws that should apply to bible-thumpers, eh? And when they're discovered in illegal acts, well the media should just sweep it under the rug. Because.....well, they're christians.",low,implicit,low_signal,subtle_coded_hate
