target_group,text,severity_tier,implicit_explicit,strategy,salient_feature
race_ethnicity,i hate jews so much i wish the holocaust actually happened,extreme,explicit,dehumanisation,high_toxicity_explicit
race_ethnicity,What are you?  Some kind of nigger lover?,extreme,explicit,dehumanisation,high_toxicity_explicit
race_ethnicity,this obnoxious nigger bitch on tucker show deserves a noose put around her neck and hanged until she dead,extreme,explicit,direct_threat,direct_threat
race_ethnicity,shut the fuck up you dumb black bitch,extreme,explicit,dehumanisation,high_toxicity_explicit
race_ethnicity,Good morning niggers leave that stupid bitch/nigga alone move on to bigger and better things 💓 https://t.co/GLaqx7kU6g,extreme,explicit,dehumanisation,high_toxicity_explicit
race_ethnicity,The #Houthis are a boil on the ass of humanity and you are a first-class piece of 💩 URL,extreme,explicit,insult_based,high_toxicity_explicit
race_ethnicity,trump is the only jews true friend. I hope trump will be the next US president and help Israel to kill all Palestinian fucking muslim. we will kill all muslim in the world.,extreme,explicit,direct_threat,direct_threat
race_ethnicity,"They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country",extreme,explicit,general_toxic,high_toxicity_explicit
race_ethnicity,@L1LTR4P fucking losers wetbacks #SorryNotSorry,extreme,explicit,insult_based,high_toxicity_explicit
race_ethnicity,Every gook in #LosAngeles should be deported or killed.,extreme,explicit,direct_threat,direct_threat
race_ethnicity,"Trudeau is an idiot. I am an East Indian and One of the reasons I love and came to Canada is for its foreword thinking and allowing  me to live a better life.  My country did a stupid job of that. People come to this country to learn better ways of living and give their children a opportunity for  better lives. I sure as hell know and they know that our  countries royally screwed it up. So then why, why do women want to lower themselves to cover up their faces when facing the world?  Why and what are they ashamed of.  Why don’t they offer others  the courtesy of allowing them to see their face when they engage in conversation?  Why live with rules that date black to ancient times. Are they afraid of there men still. Baffles my mind.   I am a male that came from that backward culture and these people make me wonder why they come here but live in the same stupid backwards world they wanted so desperately to leave.",high,explicit,slur_heavy,high_toxicity_explicit
race_ethnicity,<user> girl like tf lol them white hoes was better,high,explicit,general_toxic,general_case
race_ethnicity,@LifeMelvin yea nigga what about it:) https://t.co/MH26UxYJDv,high,explicit,general_toxic,general_case
race_ethnicity,"Trump attacked the CEO of Merck who left his advisory board after Trump gave the *wink wink, nod nod* to White Supremacists:

FYI, later in the day both the CEO's of Under Armour and Intel pulled out as well. 

Not a peep from Trump. 

Guess the difference? 

CEO of Merck is black, 

...CEO's of Under Armour and Intel are white.

Trump is an admitted white supremacist, you can't get more racist than to claim you're a white supremacist.",moderate,implicit,slur_heavy,subtle_coded_hate
race_ethnicity,The white trash wagon poor folk motor home. https://t.co/qQfxM9hwXO,moderate,implicit,slur_heavy,subtle_coded_hate
race_ethnicity,This facts and if you can’t respect that or have an issue with it.. leave my nigga. 🤷🏾‍♂️ https://t.co/wznspUrRUb,moderate,explicit,slur_heavy,high_slur_usage
race_ethnicity,"Yep. Because only white guys are individuals in tiki torch land.

Carolyn: ""Hi, my name is Carolyn Ammidown.""

August: ""I'll just call you 'The Blacks' same as I call all of the other 'blacks'.""",moderate,implicit,coded_implicit,general_case
race_ethnicity,There happy because there are no blacks or Mexicans running around trying to steal everything you own.,moderate,explicit,general_toxic,general_case
race_ethnicity,A thread on one of my favourites in this life Happy birthday my nigga @aufe__ 🍾🍾🍾🍾🍾🍾🍾🍾🍾 https://t.co/ax8CfqtJhU,moderate,implicit,coded_implicit,general_case
race_ethnicity,"You most certainly HAVE been making moral judgements, and moral judgements on the basis of a very modern sensibility. 

Thanks for confirming that the reason Africa never exploited or conquered Europe was because Europe was poorer. Hannibal excluded...

But in fact, Europe had to defend itself from conquest from its African and Asian neighbours, several times, from the Moors and the Ottoman Empire.

As for famine, nonsense as well:

https://en.wikipedia.org/wiki/Famine_in_India#Ancient.2C_medieval_and_pre-colonial_India",low,implicit,slur_heavy,subtle_coded_hate
race_ethnicity,"While I agree with the students who are pointing out that what the professor did WAS in fact a blackface performance (a 2016 version if you will) I do not at all believe it would be productive to remove Professor Schurtz from her teaching position although some disciplinary action by her department does seem appropriate given that she invited students over whom she has academic power (if not grading power) to her home to witness her performance. 
It is patronizing in a racist society like ours for a white woman to put an afro-wig on her head, paint her hands and face black in order to imitate an African-American to demonstrate her reaction to his memoir about racism. If she read a moving memoir about a Standing Rock Sioux Indian would she have donned a feathered headdress and ""war paint""? You know Gary all the people that are your age in my family don't really get it either. Remember, I don't think she should be fired but she deserves to be ridiculed. What she did was ridiculous.",low,implicit,slur_heavy,subtle_coded_hate
race_ethnicity,"what is Canadian culture ?  Until someone can tell me it is simply another way to say you are being prejudiced.  To me, it is an amalgam of 150 years which includes a whole lot of folks from places as diverse as Ireland and Scotland, to India to China and Vietnam and even the USA.  And hey, Africa and South America too.  So while we wait for your clear and concise explanation of Canadian culture, I will sit back at Timmies and enjoy watching the hockey with the Muslim kid from London On, (who fasts during Ramadan) playing for the Leafs against another pro team with a few black kids from Scarborough on it.  I hear Manny Malhotra just got hired by the Canucks.   Or maybe watch that Setoguchi kid from Taber play for the Kings.  Enough Canadian culture for you all?",low,implicit,slur_heavy,subtle_coded_hate
race_ethnicity,"I admit, I could be wrong, he may not have been an immigrant. In my city, there are a large number of Hispanic immigrants. They dress similar and groom similar and drive similar dilapidated vehicles. They gather at home depot parking lots waiting for job opportunities. If you think I am a racist by such statements you are wrong - it is simply an observation.

(I very much admire people who work hard in spite of tough living conditions)

Many here, have had a knee-jerk PC reaction and have already labeled me a hateful racist! Ha!

That would explain why most of my friends, since kindergarten where either black or Hispanic!!

 In pointing out my possible error in judgment - they have all judged me in error - with much animosity and condescension I might add, - which I never intended for the possible 'immigrant' driver who sped past the school children getting off the bus.

In JUDGING ME - you miss my original point - the importance of knowing the language and laws of the place you live.",low,implicit,slur_heavy,subtle_coded_hate
